id,latitude,longitude,elevation
KARR0,41.7719,-88.4757,217
99652,53.8167,-128.8333,0
99546,28.9,-78.6,-9999
6012,62.3194,-6.3206,54
82598,-5.7667,-35.2,45
84101,-0.5833,-80.4,3
KLLQ0,33.6386,-91.751,81
40798,32.3333,50.85,2078
91689,-18.1333,178.4333,0
KAFJ0,40.1365,-80.2902,361
D0817,51.0306,8.8146,293
3293,53.85,-0.1,15
8224,40.3,-3.7167,620
48093,17.3333,96.5,15
48437,15.2347,103.2514,182
63895,-7.9167,39.6667,21
65378,6.95,0.5833,643
D2465,53.5083,9.7376,1
KWJF0,34.7411,-118.2186,717
21946,70.6167,147.8833,61
71050,52.11,-124.14,910
94748,-34.4,150.8833,30
47592,38.4333,141.3,43
48978,12.4167,107.1667,705
65222,7.1,4.8333,287
RBHD5,59.318,10.375,30
42045,33.5,75.1667,1624
16756,35,25.7333,13
41967,22.4833,92.2333,26
31677,49.0167,138.75,894
71481,50.4,-125.8667,19
15338,45.0333,21.6833,308
1199,68.75,23.5333,382
26145,58.8667,26.95,32
99124,-17.6,145.5,957
84054,-0.15,-78.05,3120
27593,56.0914,49.8642,151
32186,46.2,150.5,70
43221,15.5,80.0833,22
54449,40,119.75,27
42803,22.4167,87.3167,0
SBCN0,-17.7253,-48.6075,685
3067,56.9,-3.6333,560
CWWQ0,58.93,-125.7667,837
3386,53.5,67,3
40418,26.8333,49.9667,1
70105,20.7856,-156.9514,399
4200,76.5,-69,20
KPIM0,32.8407,-84.8824,275
LD2IV,48.2008,10.7293,538
26326,57.3167,24.4167,10
15272,45.67,21.92,125
43133,17,79.25,0
49BI1,50.0603,7.7609,203
3903,54.4,-7.65,47
D0848,52.6146,10.0726,38
61033,15.1333,10.7167,0
D2958,51.0266,14.9356,213
15563,0,0,0
31704,48.35,130.8,91
EDXY0,54.687,8.5328,8
63654,1.6833,31.7167,1146
64920,4.7333,11.25,500
97900,-7.9833,131.3,24
KC620,41.4727,-85.2608,306
28367,57.1167,65.4333,104
40931,35.3,69.0667,3172
KEQA0,37.7741,-96.8176,420
D4978,50.639,10.0228,395
68263,-25.9167,28.2167,1523
TJMZ0,18.2557,-67.1485,9
48407,15.25,104.8667,123
62773,13.15,33.95,429
71116,49.12,-110.47,935
2064,67.3378,22.2336,240
1OQZV,45.95,-74.62,191
70117,65.5667,-167.9167,83
62900,6.8,29.7,418
40404,26.3,43.7667,648
1289,62.5833,11.35,62
A7KKO,53.49,-113.54,670
KU520,38.2306,-112.6754,1787
MKS6X,45.77,-70.95,442
45018,22.1333,113.5667,27
87349,-31.6667,-63.8833,338
72642,43.78,-87.85,228
98712,8.1833,117.3,2
93784,-43.6036,172.6492,496
71660,49.2815,-81.7941,244
71121,53.67,-113.47,688
95966,-41.5,147.2,171
69017,36.5333,-115.5667,972
71836,51.27,-80.65,10
93034,-35.4167,173.8167,204
D2600,49.7363,10.1781,188
1154,68.5833,14.3,30
41593,32.05,72.6667,60
71160,62.71,-109.17,168
35478,48.8833,68.0833,506
83612,-20.4667,-54.6667,567
83814,-24.25,-49.7,0
83179,-11.0833,-43.1667,402
26951,53.0333,27.55,157
27894,53.6,48.8333,0
62452,29.9144,33.7408,401
40110,33.8167,35.7667,0
99406,43.9667,-68.1333,9
6071,56.45,10.9667,8
47807,33.5833,130.3833,3
62567,29.1,-13.6,79
95911,-35.1333,147.3167,222
17119,40.6667,29.2833,4
33187,50.7,25.5,233
2293,64.6333,21.0833,49
74937,38.1667,127.1,87
71298,42.03,-82.9,191
11538,49.2,14.3333,500
3743,51.2,-1.8,132
34069,51.8667,45.0333,0
38937,37.3167,68.1333,380
12116,54.15,15.3,8
82578,-5.0833,-42.8167,74
44216,49.09,91.72,1591
82863,-8.9667,-48.1833,187
65101,8.4833,4.5833,308
78355,21.4,-77.85,0
ECVC9,38.94139,-95.65056,329
86875,-22.3578,-43.6956,357
22781,62.9667,46.5833,95
17082,40.85,35.5833,545
29587,55.6333,95.4667,251
98437,13.3667,122.5167,44
71161,64.3833,-115.0167,478
94375,-24.1833,149.8,94
4PF7Q,49.7491,8.3143,132
2161,66.7531,20.9283,328
16465,36.9658,14.9578,638
68515,-30.8647,17.5789,11
4119,65.6333,-22.8,298
KJXN0,42.2604,-84.4604,305
PMKZ4,48.59,-124.33,10
78644,14.9667,-89.5333,490
48324,17.6364,99.2447,191
94957,-42.5,146.7,11
37209,43.05,42.7167,1441
OPUOY,44.63,-63.51,24
16345,39.3311,16.3964,1669
